Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,mpn,lcsc,sim.device,sim.pins,sim.type,height,i2c,arrow part number,arrow price/stock,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
1,Single-cell battery,2xBATT,BT1,BATT,BAT_BK-18650-PC4,1,~,5c70984412875079b91f87e9,,,,,,,,,,,,,,
2,Single-cell battery,3xBATT,BT2,BATT,BAT_BK-18650-PC6,1,~,63567f66c8e7b5bbef872ce1,,,,,,,,,,,,,,
3,"Buzzer, polarized",Buzzer,BZ1,LET9032ES-03L,MagneticBuzzer_LET9032ES-03L-2.7-16-R,1,~,5fa0f13812875025b3977890,,,,,,,,,,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C9C14,15p,C_0805_2012Metric,2,~,5c70984712875079b91f8b32,,,,,,,,,,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C5C46,1n,C_0805_2012Metric,2,~,5c70984712875079b91f8b45,C0805 1u,C0805 1u,,,,,,,,,,,,
6,"Unpolarized capacitor, small symbol",C_Small,C34,3n3,C_0805_2012Metric,1,~,5c70984712875079b91f8b47,,,,,,,,,,,,,,
7,"Unpolarized capacitor, small symbol",C_Small,C27,47n,C_0805_2012Metric,1,~,65482046462c6d9e72056b98,,,,,,,,,,,,,,
8,"Unpolarized capacitor, small symbol",C_Small,C1C2C3C4C6C8C10C13C15C16C17C18C20C23C25C26C29C30C35C48,100n,C_0805_2012Metric,20,~,5c70984712875079b91f8b4c,,,,,,,,,,,,,,
9,"Unpolarized capacitor, small symbol",C_Small,C19C24C31C45,1u,C_0805_2012Metric,4,~,5c70984712875079b91f8b50,,,,,,,,,,,,,,
10,"Unpolarized capacitor, small symbol",C_Small,C7C12C33,4u7,C_0805_2012Metric,3,~,5c70984712875079b91f8b52,,,,,,,,,,,,,,
11,"Unpolarized capacitor, small symbol",C_Small,C11C21C22C28C42C43C44C47,10u,C_0805_2012Metric,8,~,5c70984712875079b91f8b53,,,,,,,,,,,,,,
12,"Unpolarized capacitor, small symbol",C_Small,C32C36C37C38,22u,C_0805_2012Metric,4,~,650b58f1462c6d9e7205463b,,,,,,,,,,,,,,
13,"Unpolarized capacitor, small symbol",C_Small,C39C40C41,47u,C_0805_2012Metric,3,~,5c70984812875079b91f8bbf,,,,,,,,,,,,,,
14,"Dual Schottky diode, anode/cathode/center",D_Schottky_Dual_Series_AKC,D6,BAS70-04,SOT-23,1,~,5c70984512875079b91f88b6,,,,,,,,,,,,,,
15,"Light emitting diode, small symbol",LED_Small,D8D9D10D11D12,GREEN,SMD_LED_RIGHT_KINGBRIGHT_1605,5,~,65481f0c462c6d9e72056b3d,,,,,,,,,,,,,,
16,Light emitting diode,LED,D2,GREEN,SMD_LED_RIGHT_KINGBRIGHT_1605,1,https://www.tme.eu/Document/283cf8402cc8d70fa16840405395cb5a/kptr-3216cgck.pdf,65481f0c462c6d9e72056b3d,,,C598394,,,,,,,,,,,
17,"Light emitting diode, small symbol",LED_Small,D3D4D5D7D13D14,ORANGE,SMD_LED_RIGHT_KINGBRIGHT_1605,6,~,65481fdd462c6d9e72056b6a,,,,,,,,,,,,,,
18,Light emitting diode,LED,D1,RED,SMD_LED_RIGHT_KINGBRIGHT_1605,1,http://www.kingbright.com/attachments/file/psearch/000/00/20160808bak/KPTR-3216SURCK(Ver.15A).pdf,65481f96462c6d9e72056b54,,,C598398,,,,,,,,,,,
19,"Light emitting diode, small symbol",LED_Small,D15D16,RED,SMD_LED_RIGHT_KINGBRIGHT_1605,2,~,65481f96462c6d9e72056b54,,,,,,,,,,,,,,
20,Fuse,Fuse,F1F2F3F4F5,Fuse,Drzak_2410,5,~,5c70984512875079b91f88d8,,,,,,,,,,,,,,
21,,MOLEX_46436-9327,J4,46436-9327,MOLEX_46436-9327,1,,65481d4a462c6d9e72056b06,,,,,,,,,,,,,,
22,2x03 2.54 mm pitch header,HEADER_2x03,J3,HEADER_2x03,SMD_2x03,1,,x,,,,,,,,,,,,,,
23,,SD_Card-FPS009-4200-0,J2,SD_Card-FPS009-4200-0,FPS009-4200-0,1,,5cdd24d5128750448edda353,,,,,,,,,,,,,,
24,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J1,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,,5fa0f94612875025b397795e,USB4105-GF-A,USB4105-GF-A,,,,,,,,,,,,
25,"Jumper, 2-pole, open",Jumper_2_Open,JP6JP7JP8JP9JP10,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,~,x,,,,,,,,,,,,,,
26,Inductor,L,L5,100uH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,626fd6fcdc56076e9a222966,,,,,,,,,,,,,,
27,Inductor,L,L1L2L3L4,1uH - DFE252012P-1R0M=P2,L_1008_2520Metric,4,~,650b5977462c6d9e72054656,,,,,,,,,,,,,,
28,"Net tie, 2 pins",NetTie_2,NT1NT2,NetTie_2,NetTie-2_SMD_Pad0.5mm,2,~,x,,,,,,,,,,,,,,
29,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q1Q2Q3Q4Q5Q6,BC817-25,SOT-23-3,6,~,5c70984712875079b91f8aea,,,,NPN,1=C 2=B 3=E,GUMMELPOON,,,,,,,,
30,"P-MOSFET transistor, gate/source/drain",Q_PMOS_GSD,Q7,BSS83P,SOT-23,1,~,5c70984712875079b91f8ae6,,,,,,,,,,,,,,
31,"Resistor, small symbol",R_Small,R33R34,33R,R_0805_2012Metric,2,~,5c70984512875079b91f8970,,,,,,,,,,,,,,
32,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue-SPACEDOS01B_PCB01A-rescue,R6R7R8R9R10R11R38R41,100R,R_0805_2012Metric,8,,5c70984512875079b91f8977,,,,,,,,,,,,,,
33,"Resistor, small symbol",R_Small,R59R60,100R,R_0805_2012Metric,2,~,5c70984512875079b91f8977,,,,,,,,,,,,,,
34,"Resistor, small symbol",R_Small,R16R22R26R27R35R50R51R54R62R63R64R65R66R67R68R69,270R,R_0805_2012Metric,16,~,5c70984512875079b91f8983,,,,,,,,,,,,,,
35,"Resistor, small symbol",R_Small,R53,510R,R_0805_2012Metric,1,~,5c70984512875079b91f8988,,,,,,,,,,,,,,
36,"Resistor, small symbol",R_Small,R15R17R19R20R31R32R48R49R55,1k,R_0805_2012Metric,9,~,5c70984512875079b91f898c,,,,,,,,,,,,,,
37,"Resistor, small symbol",R_Small,R56,2k49,R_0805_2012Metric,1,~,5c70984612875079b91f8991,,,,,,,,,,,,,,
38,"Resistor, small symbol",R_Small,R2R5R29,5k1,R_0805_2012Metric,3,~,5fa0fc3e12875025b3977997,,,,,,,,,,,,,,
39,"Resistor, small symbol",R_Small,R57,5k3,R_0805_2012Metric,1,~,5fa0fc3e12875025b3977997,,,,,,,,,,,,,,
40,"Resistor, small symbol",R_Small,R1,6.19k,R_0805_2012Metric,1,~,6548142e462c6d9e72056976,,,,,,,,,,,,,,
41,"Resistor, small symbol",R_Small,R18R21R23R24R25R28R30R36R37R40R42R44R45R46R47R70R71R72,10k,R_0805_2012Metric,18,~,5c70984612875079b91f899f 5c70984512875079b91f898c,,,,,,,,,,,,,,
42,"Resistor, small symbol",R_Small,R14,27k,R_0805_2012Metric,1,~,,,,,,,,,,,,,,,
43,"Resistor, small symbol",R_Small,R58,31k1,R_0805_2012Metric,1,~,5c70984712875079b91f8a8a,,,,,,,,,,,,,,
44,"Resistor, small symbol",R_Small,R13,68k,R_0805_2012Metric,1,~,,,,,,,,,,,,,,,
45,"Resistor, small symbol",R_Small,R76R78R80,91k,R_0805_2012Metric,3,~,5c70984712875079b91f8a95,,,,,,,,,,,,,,
46,"Resistor, small symbol",R_Small,R75R77,511k,R_0805_2012Metric,2,~,650b5a43462c6d9e7205468e,,,,,,,,,,,,,,
