Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","BATT","BAT_BK-18650-PC4",46.1360,42.9260,90.0000,top
"BT2","BATT","BAT_BK-18650-PC6",96.7860,42.9260,90.0000,top
"D1","RED","SMD_LED_RIGHT_KINGBRIGHT_1605",134.5610,66.1260,-90.0000,top
"D2","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6610,70.0260,-90.0000,top
"D3","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",134.7110,23.4010,-90.0000,top
"D4","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",134.7110,17.8510,-90.0000,top
"D5","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",134.7110,20.6260,-90.0000,top
"D8","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,41.6260,-90.0000,top
"D9","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,44.3933,-90.0000,top
"D10","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,47.1607,-90.0000,top
"D11","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,49.9280,-90.0000,top
"D12","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,52.6954,-90.0000,top
"D13","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,55.4627,-90.0000,top
"D14","RED","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,58.2301,-90.0000,top
"D15","RED","SMD_LED_RIGHT_KINGBRIGHT_1605",134.6110,60.9974,-90.0000,top
"H1","M3","MountingHole_3mm",9.9060,78.4860,0.0000,top
"H2","M3","MountingHole_3mm",131.8260,78.4860,0.0000,top
"H3","M3","MountingHole_3mm",9.9060,7.3660,0.0000,top
"H4","M3","MountingHole_3mm",131.8260,7.3660,0.0000,top
"J4","46436-9327","MOLEX_46436-9327",14.0360,24.1460,-90.0000,top
"R14","270R","R_0805_2012Metric",132.8860,66.4635,90.0000,top
"R18","270R","R_0805_2012Metric",132.8860,69.9010,-90.0000,top
"R53","270R","R_0805_2012Metric",132.2610,43.2954,180.0000,top
"R54","270R","R_0805_2012Metric",132.2360,45.2454,180.0000,top
"R55","270R","R_0805_2012Metric",132.2110,47.1954,180.0000,top
"R56","270R","R_0805_2012Metric",132.1860,49.1454,180.0000,top
"R57","270R","R_0805_2012Metric",132.1860,55.3954,180.0000,top
"R58","270R","R_0805_2012Metric",132.1985,57.3204,180.0000,top
"R59","270R","R_0805_2012Metric",132.1985,59.2954,180.0000,top
"R60","270R","R_0805_2012Metric",132.1985,61.2454,180.0000,top
"SW1","SKRTLAE010","SKRT",128.9360,28.1760,90.0000,top
"SW4","SKRTLAE010","SKRT",128.8360,35.5260,90.0000,top
"TH1","10k NTC","R_0805_2012Metric",55.8860,61.2260,180.0000,top
"TH2","10k NTC","R_0805_2012Metric",77.4860,61.2260,0.0000,top
